CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12347,1,7,4310.0,0,Regular Customers
12348,74,4,1797.24,0,Regular Customers
12349,18,1,1757.55,0,Regular Customers
12350,309,1,334.4,2,Low-Value Customers
12352,35,8,2506.04,0,Regular Customers
12353,203,1,89.0,2,Low-Value Customers
12354,231,1,1079.4,2,Low-Value Customers
12355,213,1,459.4,2,Low-Value Customers
12356,22,3,2811.43,0,Regular Customers
12357,32,1,6207.67,0,Regular Customers
12358,1,2,1168.06,0,Regular Customers
12359,57,4,6310.03,0,Regular Customers
12360,51,3,2662.06,0,Regular Customers
12361,286,1,189.9,2,Low-Value Customers
12362,2,10,5226.23,0,Regular Customers
12363,109,2,552.0,0,Regular Customers
12364,7,4,1313.1,0,Regular Customers
12365,290,2,641.38,2,Low-Value Customers
12367,3,1,168.9,0,Regular Customers
12370,50,4,3541.94,0,Regular Customers
12371,44,2,1887.96,0,Regular Customers
12372,71,3,1298.04,0,Regular Customers
12373,310,1,364.6,2,Low-Value Customers
12374,24,1,742.9300000000001,0,Regular Customers
12375,10,2,457.5,0,Regular Customers
12377,314,2,1628.12,2,Low-Value Customers
12378,129,1,4008.62,0,Regular Customers
12379,81,2,852.24,0,Regular Customers
12380,21,4,2724.81,0,Regular Customers
12381,4,5,1845.31,0,Regular Customers
12383,184,5,1850.56,2,Low-Value Customers
12384,28,2,585.27,0,Regular Customers
12386,337,2,401.9,2,Low-Value Customers
12388,15,6,2780.66,0,Regular Customers
12390,79,1,549.84,0,Regular Customers
12391,21,1,439.66,0,Regular Customers
12393,71,4,1582.6,0,Regular Customers
12394,63,2,1272.48,0,Regular Customers
12395,18,12,3018.63,0,Regular Customers
12397,35,2,2409.9,0,Regular Customers
12398,45,1,1635.66,0,Regular Customers
12399,118,4,1108.65,0,Regular Customers
12401,302,1,84.3,2,Low-Value Customers
12402,322,1,225.6,2,Low-Value Customers
12403,49,1,427.7,0,Regular Customers
12405,148,1,1710.39,2,Low-Value Customers
12406,21,2,3415.3,0,Regular Customers
12407,49,5,1708.12,0,Regular Customers
12408,32,5,2888.55,0,Regular Customers
12409,78,3,11072.67,0,Regular Customers
12410,308,2,693.3299999999999,2,Low-Value Customers
12412,74,3,1226.88,0,Regular Customers
12413,66,3,758.1,0,Regular Customers
12414,216,3,562.41,2,Low-Value Customers
12415,23,21,124280.93,1,High-Value Customers
12417,2,9,3649.1,0,Regular Customers
12418,112,1,668.58,0,Regular Customers
12420,63,1,600.39,0,Regular Customers
12421,15,4,807.04,0,Regular Customers
12422,95,3,803.5600000000001,0,Regular Customers
12423,0,8,1859.31,0,Regular Customers
12424,162,2,1760.96,2,Low-Value Customers
12425,77,1,777.2,0,Regular Customers
12426,194,1,582.73,2,Low-Value Customers
12427,21,3,825.8,0,Regular Customers
12428,25,9,7956.46,0,Regular Customers
12429,8,4,3750.4,0,Regular Customers
12430,42,1,256.4,0,Regular Customers
12431,35,15,6419.95,0,Regular Customers
12432,42,5,5059.32,0,Regular Customers
12433,0,7,13375.87,0,Regular Customers
12434,84,2,806.14,0,Regular Customers
12435,79,2,7829.89,0,Regular Customers
12436,99,1,509.01,0,Regular Customers
12437,1,18,4951.41,0,Regular Customers
12438,13,2,2906.85,0,Regular Customers
12441,366,1,173.55,2,Low-Value Customers
12442,2,1,172.06,0,Regular Customers
12444,20,5,5005.46,0,Regular Customers
12445,21,1,133.4,0,Regular Customers
12446,57,1,1002.31,0,Regular Customers
12447,242,1,476.49,2,Low-Value Customers
12448,43,1,449.45,0,Regular Customers
12449,21,4,4067.29,0,Regular Customers
12450,155,2,197.88,2,Low-Value Customers
12451,10,5,9035.52,0,Regular Customers
12452,16,2,430.57,0,Regular Customers
12453,133,1,707.09,0,Regular Customers
12454,55,1,3528.34,0,Regular Customers
12455,72,6,2466.86,0,Regular Customers
12456,43,3,3181.04,0,Regular Customers
12457,65,7,2363.23,0,Regular Customers
12458,70,2,947.4,0,Regular Customers
12461,93,2,826.88,0,Regular Customers
12462,18,2,1189.59,0,Regular Customers
12463,52,4,1344.78,0,Regular Customers
12464,9,8,1212.05,0,Regular Customers
12465,16,2,742.1899999999999,0,Regular Customers
12468,187,2,729.5400000000001,2,Low-Value Customers
12471,1,30,19788.65,0,Regular Customers
12472,31,7,6572.11,0,Regular Customers
12473,28,5,3928.05,0,Regular Customers
12474,16,18,7324.09,0,Regular Customers
12475,53,1,723.38,0,Regular Customers
12476,15,11,6816.42,0,Regular Customers
12477,22,6,13219.74,0,Regular Customers
12478,3,1,680.99,0,Regular Customers
12479,10,1,527.2,0,Regular Customers
12480,27,4,3281.63,0,Regular Customers
12481,22,10,5579.82,0,Regular Customers
12483,16,8,2484.98,0,Regular Customers
12484,32,6,4527.32,0,Regular Customers
12488,9,3,1298.66,0,Regular Customers
12489,335,1,334.93,2,Low-Value Customers
12490,4,10,5417.93,0,Regular Customers
12491,38,1,460.4,0,Regular Customers
12492,62,2,263.21000000000004,0,Regular Customers
12493,165,2,433.74,2,Low-Value Customers
12494,15,7,1246.1,0,Regular Customers
12497,81,1,1043.1,0,Regular Customers
12498,20,3,403.7000000000001,0,Regular Customers
12500,22,11,4257.82,0,Regular Customers
12501,336,1,2169.39,2,Low-Value Customers
12502,95,5,3723.87,0,Regular Customers
12504,17,2,482.05,0,Regular Customers
12506,232,1,73.5,2,Low-Value Customers
12507,133,3,1304.81,0,Regular Customers
12508,25,2,397.88,0,Regular Customers
12509,283,1,176.5,2,Low-Value Customers
12510,142,2,982.57,2,Low-Value Customers
12512,65,2,132.18,0,Regular Customers
